名称,住所,緯度,経度
岩手県,日本、岩手県,39.5832989,141.2534574
石と賢治のミュージアム,日本、〒029-0303 岩手県一関市東山町松川滝ノ沢１４９−１,38.9786821,141.2384239
岩手県立博物館,日本、〒020-0102 岩手県盛岡市上田松屋敷３４,39.7555078,141.1539967
一関市博物館,日本、〒021-0101 岩手県一関市厳美町沖野々−２１５−１,38.9466624,141.0518121
奥州市牛の博物館,日本、〒029-4205 岩手県奥州市前沢南陣場１０３−１,39.026935,141.1239416
北上市立博物館,日本、〒024-0043 岩手県北上市立花１４地割５９ 北上市立博物館,39.271378,141.13042
サトウハチロー記念館,日本、〒024-0043 岩手県北上市立花１３地割１３−６７−３,39.272914,141.127826
太陽と風の家,,,
たたら館,,,
遠野蔵の道ギャラリー,日本、〒028-0523 岩手県遠野市中央通り４−２８,39.3310075,141.5280592
遠野城下町資料館,日本、〒028-0523 岩手県遠野市中央通り４−６,39.3304885,141.5289838
遠野市立博物館・図書館,日本、〒028-0515 岩手県遠野市東舘町３−９,39.3278919,141.528722
日本現代詩歌文学館,日本、〒024-0093 岩手県北上市本石町２丁目５−６０,39.2928158,141.114765
花巻歴史民俗資料館,日本、〒025-0037 岩手県花巻市太田3−85−１,39.3871234,141.0211865
碧祥寺博物館,日本、〒029-5614 岩手県和賀郡西和賀町沢内太田３地割３２,39.427353,140.748102
みちのく民俗村,日本、〒024-0043 岩手県北上市立花１４地割62−３,39.270302,141.1296694
三船十段記念館,日本、〒028-0082 岩手県久慈市川貫第５地割２０−２３０,40.1880043,141.7587258
盛岡市遺跡の学び館,日本、〒020-0866 岩手県盛岡市本宮荒屋１３−１,39.692081,141.128528
秋田県,日本、秋田県,40.1376293,140.334341
秋田市立赤れんが郷土館,日本、〒010-0921 秋田県秋田市大町３丁目３−２１,39.7167082,140.1157849
秋田市立佐竹史料館,日本、〒010-0876 秋田県秋田市千秋公園１−４,39.719978,140.124801
秋田大学附属鉱業博物館,日本、〒010-0851 秋田県秋田市手形大沢２８−２,39.7291973,140.1366088
小坂町総合博物館郷土館,日本、〒017-0201 秋田県鹿角郡小坂町小坂字中前田４８−１,40.3236735,140.7405751
秋田市立佐竹史料館,日本、〒010-0876 秋田県秋田市千秋公園１−４,39.719978,140.124801
