名称,住所,緯度,経度
多治見市美濃焼ミュージアム,日本、〒507-0801 岐阜県多治見市東町１丁目９−２７,35.3408605,137.1490907
多治見市モザイクタイルミュージアム,日本、〒507-0901 岐阜県多治見市笠原町２０８２−５,35.299116,137.159534
瑞浪市市之瀬廣太記念美術館,日本、〒509-6133 岐阜県瑞浪市明世町戸狩２−１７,35.374944,137.237107
中山道広重美術館,日本、〒509-7201 岐阜県恵那市大井町１７６−１,35.452865,137.41012
東山魁夷 心の旅路館,日本、〒508-0501 岐阜県中津川市山口１−１５,35.5858751,137.5514138
関市立篠田桃紅美術空間,日本、〒501-3802 岐阜県関市若草通３丁目１,35.495771,136.917925
美濃和紙あかりアート館,日本、〒501-3728 岐阜県美濃市本住町１９０１番地３,35.5471735,136.9124786
美濃加茂市民ミュージアム,日本、〒505-0004 岐阜県美濃加茂市蜂屋町上蜂屋３２９９−１,35.4569236,137.0218983
日比野五鳳記念美術館,日本、〒503-2305 岐阜県安八郡神戸町神戸１２２０−１,35.4165093,136.6104102
川辺町ギャラリー山惠,日本、〒509-0304 岐阜県加茂郡川辺町中川辺２４−２,35.4879735,137.0683429
愛知県美術館,日本、〒461-0005 愛知県名古屋市東区東桜１丁目１３−２,35.1708996,136.9111756
名古屋市美術館,日本、〒460-0008 愛知県名古屋市中区栄２丁目１７−２５ 芸術と科学の杜・白川公園内,35.1639264,136.9010711
清須市はるひ美術館,日本、〒452-0961 愛知県清須市春日夢の森１,35.2355808,136.8408775
稲沢市荻須記念美術館,日本、〒492-8217 愛知県稲沢市稲沢町前田３６５−８,35.246541,136.789387
瀬戸市美術館,日本、〒489-0884 愛知県瀬戸市西茨町１１３−３,35.2184099,137.099849
豊田市美術館,日本、〒471-0034 愛知県豊田市小坂本町８丁目５−１,35.079788,137.151591
岡崎市美術博物館,日本、〒444-0002 愛知県岡崎市高隆寺町峠１,34.947729,137.2175055
岡崎市美術館,日本、〒444-0864 愛知県岡崎市明大寺町茶園１１−３ 岡崎市美術館,34.9420006,137.1639987
豊橋市美術博物館,日本、〒440-0801 愛知県豊橋市今橋町３−１,34.7692262,137.3948299
刈谷市美術館,日本、〒448-0852 愛知県刈谷市住吉町４丁目 5番地,34.9856199,137.0056732
高浜市やきものの里かわら美術館,日本、〒444-1325 愛知県高浜市青木町９丁目６−１８,34.9232535,136.9818008
碧南市藤井達吉現代美術館,日本、〒447-0847 愛知県碧南市音羽町１丁目１,34.8733956,136.9817963
三重県立美術館,日本、〒514-0007 三重県津市大谷町１１,34.734748,136.5025004
